" Date","SPY Open","SPY Low","SPY High","SPY Adj. Close"
"10-31-2018","270.70 ","270.13 ","273.22 ","270.63 "
"10-30-2018","263.67 ","263.12 ","268.12 ","267.77 "
"10-29-2018","268.80 ","259.85 ","270.25 ","263.86 "
"10-26-2018","265.92 ","262.29 ","271.00 ","265.33 "
"10-25-2018","267.38 ","266.23 ","271.81 ","270.08 "
"10-24-2018","273.33 ","264.70 ","273.76 ","265.32 "
"10-23-2018","270.95 ","268.61 ","274.87 ","273.61 "
"10-22-2018","277.00 ","274.41 ","277.36 ","275.01 "
"10-19-2018","277.13 ","275.47 ","279.30 ","276.25 "
"10-18-2018","279.40 ","274.97 ","280.07 ","276.40 "
"10-17-2018","280.44 ","277.56 ","281.15 ","280.45 "
"10-16-2018","276.60 ","276.07 ","280.82 ","280.40 "
"10-15-2018","275.55 ","274.30 ","277.04 ","274.40 "
"10-12-2018","276.77 ","272.37 ","277.09 ","275.95 "
"10-11-2018","277.08 ","270.36 ","278.90 ","272.17 "
"10-10-2018","286.83 ","277.88 ","286.91 ","278.30 "
"10-09-2018","287.39 ","286.77 ","288.86 ","287.40 "
"10-08-2018","287.05 ","285.50 ","288.22 ","287.82 "
"10-05-2018","289.69 ","286.22 ","290.27 ","287.82 "
"10-04-2018","291.18 ","287.66 ","291.24 ","289.44 "
"10-03-2018","292.74 ","291.32 ","293.21 ","291.72 "
"10-02-2018","291.56 ","291.14 ","292.36 ","291.56 "
"10-01-2018","292.11 ","290.98 ","292.93 ","291.73 "
"09-28-2018","289.99 ","289.95 ","291.28 ","290.72 "
"09-27-2018","290.41 ","290.10 ","291.91 ","290.69 "
"09-26-2018","290.91 ","289.41 ","292.24 ","289.88 "
"09-25-2018","291.53 ","290.48 ","291.65 ","290.75 "
"09-24-2018","291.34 ","290.37 ","291.50 ","291.02 "
"09-21-2018","293.09 ","291.81 ","293.22 ","291.99 "
"09-20-2018","291.32 ","289.93 ","292.62 ","292.26 "
"09-19-2018","289.66 ","289.51 ","290.38 ","289.91 "
"09-18-2018","288.27 ","288.25 ","290.27 ","289.60 "
"09-17-2018","289.51 ","287.73 ","289.55 ","288.04 "
"09-14-2018","289.75 ","288.69 ","289.96 ","289.57 "
"09-13-2018","289.01 ","288.69 ","289.73 ","289.52 "
"09-12-2018","287.76 ","286.93 ","288.49 ","287.82 "
"09-11-2018","286.07 ","285.68 ","288.25 ","287.75 "
"09-10-2018","287.44 ","286.58 ","287.74 ","286.80 "
"09-07-2018","285.69 ","285.42 ","287.40 ","286.30 "
"09-06-2018","287.85 ","285.71 ","288.19 ","286.86 "
"09-05-2018","288.11 ","286.59 ","288.33 ","287.73 "
"09-04-2018","288.53 ","287.38 ","288.90 ","288.50 "
"08-31-2018","288.53 ","287.99 ","289.50 ","289.00 "
"08-30-2018","289.63 ","288.32 ","290.05 ","288.99 "
"08-29-2018","288.85 ","288.58 ","290.43 ","290.17 "
"08-28-2018","288.99 ","288.10 ","289.11 ","288.61 "
"08-27-2018","287.56 ","287.38 ","288.59 ","288.47 "
"08-24-2018","285.15 ","285.09 ","286.37 ","286.21 "
"08-23-2018","284.68 ","284.14 ","285.65 ","284.50 "
"08-22-2018","284.59 ","284.29 ","285.47 ","284.88 "
"08-21-2018","284.96 ","284.42 ","286.02 ","285.05 "
"08-20-2018","284.28 ","283.78 ","284.68 ","284.38 "
"08-17-2018","282.55 ","282.09 ","284.27 ","283.78 "
"08-16-2018","282.12 ","282.08 ","283.76 ","282.78 "
"08-15-2018","281.11 ","278.90 ","281.27 ","280.51 "
"08-14-2018","281.65 ","281.21 ","282.89 ","282.62 "
"08-13-2018","282.19 ","280.50 ","282.88 ","280.83 "
"08-10-2018","282.17 ","281.09 ","282.77 ","281.88 "
"08-09-2018","284.24 ","283.63 ","284.68 ","283.79 "
"08-08-2018","284.10 ","283.66 ","284.62 ","284.17 "
"08-07-2018","284.10 ","283.95 ","284.72 ","284.29 "
"08-06-2018","282.36 ","281.92 ","283.71 ","283.36 "
"08-03-2018","281.26 ","281.06 ","282.38 ","282.32 "
"08-02-2018","278.13 ","277.90 ","281.31 ","281.12 "
"08-01-2018","280.29 ","278.87 ","280.86 ","279.59 "
"07-31-2018","279.54 ","279.12 ","280.75 ","280.06 "
"07-30-2018","280.24 ","278.10 ","280.42 ","278.69 "
"07-27-2018","282.43 ","279.12 ","282.54 ","280.15 "
"07-26-2018","281.92 ","281.81 ","282.83 ","282.06 "
"07-25-2018","280.06 ","280.01 ","283.09 ","282.73 "
"07-24-2018","280.52 ","279.37 ","281.29 ","280.34 "
"07-23-2018","278.19 ","277.80 ","279.17 ","278.94 "
"07-20-2018","278.51 ","278.24 ","279.22 ","278.42 "
"07-19-2018","279.05 ","278.20 ","279.47 ","278.74 "
"07-18-2018","279.30 ","278.80 ","279.91 ","279.79 "
"07-17-2018","277.22 ","277.16 ","279.64 ","279.21 "
"07-16-2018","278.38 ","277.58 ","278.54 ","278.08 "
"07-13-2018","277.91 ","277.40 ","278.67 ","278.33 "
"07-12-2018","277.03 ","276.35 ","278.17 ","278.11 "
"07-11-2018","275.90 ","275.27 ","276.79 ","275.61 "
"07-10-2018","277.16 ","276.83 ","277.75 ","277.64 "
"07-09-2018","275.30 ","275.25 ","276.71 ","276.65 "
"07-06-2018","271.91 ","271.49 ","274.60 ","274.18 "
"07-05-2018","270.94 ","269.74 ","271.95 ","271.88 "
"07-03-2018","271.64 ","269.20 ","271.75 ","269.68 "
"07-02-2018","268.30 ","268.03 ","270.81 ","270.63 "
"06-29-2018","270.89 ","269.93 ","272.43 ","270.06 "
"06-28-2018","268.08 ","267.28 ","270.53 ","269.67 "
"06-27-2018","271.03 ","267.97 ","272.63 ","268.14 "
"06-26-2018","270.42 ","269.57 ","271.33 ","270.38 "
"06-25-2018","272.21 ","267.89 ","272.39 ","269.78 "
"06-22-2018","274.42 ","273.25 ","274.54 ","273.50 "
"06-21-2018","274.72 ","272.45 ","274.74 ","273.00 "
"06-20-2018","275.02 ","274.35 ","275.47 ","274.73 "
"06-19-2018","272.77 ","272.30 ","274.51 ","274.26 "
"06-18-2018","274.25 ","273.71 ","275.45 ","275.31 "
"06-15-2018","275.35 ","274.11 ","276.26 ","275.88 "
"06-14-2018","276.51 ","275.57 ","276.83 ","276.23 "
"06-13-2018","276.69 ","275.31 ","276.98 ","275.54 "
"06-12-2018","276.53 ","275.70 ","276.83 ","276.42 "
"06-11-2018","275.95 ","275.82 ","276.87 ","276.07 "
"06-08-2018","274.37 ","274.18 ","275.76 ","275.70 "
"06-07-2018","275.46 ","273.86 ","275.79 ","274.89 "
"06-06-2018","273.32 ","272.63 ","275.03 ","274.92 "
